,reviews
0,"✅ Trip Verified |  My family flew from Washington to London on a British Airways A380, we were able to secure seats on the upper deck for a pretty hefty fee. Our flight was unfortunately delayed by 2 hrs from 2245 to 0120 causing us to miss a connection from Gatwick to Turin and making it so that no lounges were open by the time we got to the airport. Onboard I sat in a window seat which had a nice luggage bin which was very convenient for all my stuff. In flight entertainment system didn’t work very well, the touchscreen was disabled and the controller was quite glitchy and hard to use, it could use updating. The food for dinner was decent, they had pasta with tomato sauce which tasted good by airline standards. The seat was pretty comfortable, and the flight was smooth. After we missed our connection and we’re stuck behind security for 2 hrs waiting for escorts, they rebooked us on a flight from Heathrow to Milan the next day, gave us free bus tickets to Heathrow, gave us a free hotel room, and gave us Dinner and Breakfast vouchers. Great customer service!"
1,"✅ Trip Verified |  Easy check in a T5. Galleries south and North lounges packed, only just able to get a seat. Didn’t stay long as B gates lounge much quieter. Flight boarded smoothly and on time. A380 upper deck. Old club world seating which is beginning to age a little. However, like the large toilets on this aircraft type. Cabin crew were all fantastic. One family had tech issues with their seats and entertainment systems which crew worked hard on though sadly without success. Food and drink options were all very good. Entertainment was good. Overall an enjoyable flight."
2,"Not Verified |  Flight delayed by an hour, it happens, no biggie. Had us change our gate at the airport, never happened before but I guess it's ok. Gate agent asked us to check our bags and after telling him we would prefer not to do that, he did it anyway. Second gate agent reassigned our seats from exit row to regular which is a huge squeeze my for 6'3"" travel bud. "
3,Not Verified | The staff are very rude and not trained properly. No exceptions are made for children and elderly people. The price of the ticket is very expensive given the distance and the service is extremely extremely poor
4,✅ Trip Verified |  Good domestic flight operated by BA Cityflyer. Ground service at check-in Edinburgh airport was particularly friendly and helpful. The flight departed on time and arrived earlier than scheduled. A complimentary drink and snack (albeit tiny!) were served. Generally it seems that the quality of the Cityflyer subsidiary is superior to the mainline British Airways flights.
5,Not Verified | Failed at all basic travel fundamentals: 1) Our flight was delayed. 2) Staff demanded that we check in our carry on luggage even though we met our carry on allowance. The fact that we have a tight bus connection was totally ignored. 3) Staff were quite unpleasant.
6,"✅ Trip Verified |  They lost my baggage in a very simple situation. It's been three weeks and they don't care, no communication whatsoever. I was at the connection checkpoint at Heathrow 3hrs before my connecting flight, the last leg of my trip. An agent insists on checking in my hand luggage since my plane is full. And then they lose it. I claim it at the arrival airport immediately. Now it's been three weeks, no communication whatsoever, the online status is still “Searching for your bag” with no updates. My conclusion is that the BA males no effort to find my missing bag and they don't care. "
7,✅ Trip Verified |  Late boarding led to a one hour flight leaving two hours late. A single BA staff member turned up to board a full flight shortly before the flight was due to depart. There had been no previous announcement of the delay. Once on board the captain blamed Frankfurt ground staff for delaying takeoff when clearly late boarding had resulted in a missed departure slot.
8,✅ Trip Verified | As usual the flight is delayed. BA try to blame someone for the inability and incapacity of delivering what they sell. Why don't you hire enough personnel to fulfil your staff demand. 
9,✅ Trip Verified |  I had the most fantastic BA Flight today. The cabin crew in my seat zone 6D were of the best I have experienced. Although the 777 had the old style rear/front seating - it was comfortable and felt open and spacious. BA have done great things with the menu - it was nice not to have to eat breakfast food on the pre-arrival meal into HKG at 1730PM local time having left London at 2200 the night before. The dinner offering was equally ample and delicious. The inflight entertainment had a great collection of TV and current films and the inflight map was first rate. Previously not a huge BA fan - but after this 12 hour flight I could only recommend it without reserve. I flew the new BA suite in J class on a recent Delhi to London flight and enjoyed that product (although I felt it slightly more cramped ) but I think BA have stepped up with really comfortable bedding and food and very friendly crew who engaged throughout the flight in the best way. Couldn't recommend BA more on this flight today
10,✅ Trip Verified |  Couldn’t book in online. Arrived at check in to find we had been bumped off due to overselling. No BA staff available. Very helpful Gatwick staff got us a bus to LHR and a flight to Toulouse. Had knock in effect on our car booking and sharing as the rest of family had been able yo board original flight. Airlines should be legally stopped from selling seats twice.
11,"✅ Trip Verified | London Heathrow to Mumbai in a Boeing 787-8 in Business Class. The lounge near Terminal 5, Gate B36 at Heathrow was outstanding in its service and offerings. It provides us just the right frame to relax in before boarding as the departure was delayed by almost 2 hours. The 787-8 on our flight featured the older Club World seating. Not the best in class but comfortable enough. I hear that the new Club Suites configuration is far superior. British Airways onboard service was outstanding in every respect. All in all, a very comfortable flight. One minor irritant: for some reason this aircraft was not fitted with WiFi. We got into Mumbai at 8 am, a civilized time to arrive."
12,"✅ Trip Verified | Keflavík, Iceland to London Heathrow on an A320 in Business Class. The journey got off on an unpleasant note - the Business Class line at Keflavík was so long that it looked like an Economy Class check-in. It took over 30 mins to get through. There was no lounge access offered. The boarding process was well handled. British Airways Business Class seats for the Club Europe product are terrible - exactly the same as Economy with the middle seat left vacant. You don't even get extra pitch. What made the overall product tolerable were the good onboard service and the inflight WiFi. Also the fact that the flight leaves at a convenient mid-morning time of 10:40 am."
